,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows,label
62,198.18.0.1,60261,198.18.0.93,443,192.168.5.2,60264,221.5.100.174,2011,198.18.0.1,60261,198.18.0.93,443,22,10263,55,5.897816,7.666949,3,open-exp.spotifycdn.com,192.168.5.2,60264,221.5.100.174,2011,23,11503,50,5.946924,7.707194,3,audio
63,198.18.0.1,60268,198.18.0.98,443,192.168.5.2,60272,221.5.100.174,2011,198.18.0.1,60268,198.18.0.98,443,22,10255,59,5.901266,7.663050999999999,3,daily-mix.scdn.co,192.168.5.2,60272,221.5.100.174,2011,23,11768,55,5.950314,7.700651,3,audio
64,198.18.0.1,60269,198.18.0.95,443,192.168.5.2,60271,221.5.100.174,2011,198.18.0.1,60269,198.18.0.95,443,20,7863,60,5.901457,7.663000000000001,4,i.scdn.co,192.168.5.2,60271,221.5.100.174,2011,24,10393,54,5.950302,7.701022000000001,4,audio
65,198.18.0.1,60267,198.18.0.96,443,192.168.5.2,60270,221.5.100.174,2011,198.18.0.1,60267,198.18.0.96,443,20,7566,58,5.900941,7.663441000000001,4,exp.wg.spotify.com,192.168.5.2,60270,221.5.100.174,2011,23,9875,53,5.95029,7.699863,4,audio
66,198.18.0.1,60273,198.18.0.99,443,192.168.5.2,60275,221.5.100.174,2011,198.18.0.1,60273,198.18.0.99,443,36,11773,61,5.903795,7.665685000000001,9,api.spotify.com,192.168.5.2,60275,221.5.100.174,2011,34,18223,56,5.952872,7.702903,9,audio
67,198.18.0.1,60274,198.18.0.100,443,192.168.5.2,60276,221.5.100.174,2011,198.18.0.1,60274,198.18.0.100,443,91,20109,62,5.904056,7.664343,29,spclient.wg.spotify.com,192.168.5.2,60276,221.5.100.174,2011,85,40436,57,5.9529060000000005,7.701227999999999,29,audio
68,198.18.0.1,60278,198.18.0.84,443,192.168.5.2,60281,221.5.100.174,2011,198.18.0.1,60278,198.18.0.84,443,10,2265,64,5.972183,0.0401280000000001,1,open.spotifycdn.com,192.168.5.2,60281,221.5.100.174,2011,16,5112,59,6.021203,0.0892420000000004,1,audio
69,198.18.0.1,60279,198.18.0.84,443,192.168.5.2,60283,221.5.100.174,2011,198.18.0.1,60279,198.18.0.84,443,10,2329,65,5.972952,0.039384,1,open.spotifycdn.com,192.168.5.2,60283,221.5.100.174,2011,16,5335,60,6.022154,0.0848960000000005,1,audio
70,198.18.0.1,60297,198.18.0.90,443,192.168.5.2,60298,221.5.100.174,2011,198.18.0.1,60297,198.18.0.90,443,400,273082,75,7.117481,240.020213,21,gae2-dealer.spotify.com,192.168.5.2,60298,221.5.100.174,2011,285,212756,68,7.166644,240.065759,21,audio
71,198.18.0.1,60311,198.18.0.92,443,192.168.5.2,60313,221.5.100.174,2011,198.18.0.1,60311,198.18.0.92,443,30,11212,82,8.710971,4.858207,7,pixel-static.spotify.com,192.168.5.2,60313,221.5.100.174,2011,33,14636,75,8.760637,4.893901000000001,7,audio
72,198.18.0.1,60324,198.18.0.109,443,192.168.5.2,60326,221.5.100.174,2011,198.18.0.1,60324,198.18.0.109,443,212,156544,93,8.765836,4.804083,8,misc.scdn.co,192.168.5.2,60326,221.5.100.174,2011,119,103803,78,8.815359,4.840468999999999,8,audio
73,198.18.0.1,60323,198.18.0.95,443,192.168.5.2,60325,221.5.100.174,2011,198.18.0.1,60323,198.18.0.95,443,576,436902,92,8.764773,4.804297,14,i.scdn.co,192.168.5.2,60325,221.5.100.174,2011,271,254561,77,8.814607,4.844037999999999,18,audio
74,198.18.0.1,60329,198.18.0.91,443,192.168.5.2,60330,221.5.100.174,2011,198.18.0.1,60329,198.18.0.91,443,30,11066,96,9.220632,4.349587,7,pixel.spotify.com,192.168.5.2,60330,221.5.100.174,2011,32,16387,79,9.270254,4.385624,7,audio
75,198.18.0.1,60331,198.18.0.111,443,192.168.5.2,60332,221.5.100.174,2011,198.18.0.1,60331,198.18.0.111,443,30,12013,97,9.229041,4.339834999999999,7,www.spotify.com,192.168.5.2,60332,221.5.100.174,2011,32,15450,80,9.278238,4.3763190000000005,7,audio
76,198.18.0.1,60333,198.18.0.115,443,192.168.5.2,60334,221.5.100.174,2011,198.18.0.1,60333,198.18.0.115,443,10539,8407134,99,9.796046,3.773645,20,web-sdk-assets.spotifycdn.com,192.168.5.2,60334,221.5.100.174,2011,3884,3933862,81,9.845403,3.8103260000000017,20,audio
77,198.18.0.1,60335,198.18.0.115,443,192.168.5.2,60336,221.5.100.174,2011,198.18.0.1,60335,198.18.0.115,443,10,2339,100,9.799412,0.0835629999999998,1,web-sdk-assets.spotifycdn.com,192.168.5.2,60336,221.5.100.174,2011,16,9386,82,9.848757,0.0825800000000001,2,audio
78,198.18.0.1,60337,198.18.0.115,443,192.168.5.2,60338,221.5.100.174,2011,198.18.0.1,60337,198.18.0.115,443,10,2275,101,9.878756,0.0373420000000006,1,web-sdk-assets.spotifycdn.com,192.168.5.2,60338,221.5.100.174,2011,17,5102,83,9.928099,0.0827629999999999,1,audio
79,198.18.0.1,60339,198.18.0.135,443,192.168.5.2,60340,221.5.100.174,2011,198.18.0.1,60339,198.18.0.135,443,1982,1586553,104,10.922107,2.64302,10,video-akpcw.spotifycdn.com,192.168.5.2,60340,221.5.100.174,2011,687,777397,86,10.97126,2.683242,10,audio
